SeqID,CV
11817_1,6.5
11825_27,2.5
11827_7,4.0
11830_48,7.0
11833_83,2.0
11836_144,4.0
11837_7,4.0
11838_130,3.5
11851_21,6.0
11860_3,4.0
11872_9,6.0
11890_2,9.0
11895_21,4.5
11910_27,5.0
11911_13,3.5
11912_45,4.0
11917_8,11.0
11918_54,12.0
11919_84,5.0
11926_23,5.5
11927_3,6.0
11934_9,3.0
11939_11,5.5
11949_25,4.0
11952_1,3.0
11955_1,5.0
11967_23,10.5
11969_5,3.5
11986_30,3.5
11988_24,5.0
11989_35,2.5
11993_227,2.5
12001_7,9.0
12008_3,6.0
12012_33,3.5
12014_19,4.5
12016_60,7.5
12018_84,2.0
12020_39,4.0
12022_12,5.0
12030_82,14.5
12033_3,4.0
12034_28,48.0
12041_33,8.5
12046_51,4.0
12077_32,2.5
12329_21,4.5
12332_7,7.5
12333_87,3.5
12334_25,5.0
12338_27,6.5
12340_17,4.5
12341_8,3.5
12343_14,3.0
12345_4,2.5
12347_29,10.0
12348_46,4.5
12350_86,3.5
12351_25,8.0
12352_70,4.0
12355_223,3.5
12356_65,7.0
12357_41,4.0
12358_6,6.0
12361_102,4.0
12363_70,2.5
12365_108,3.0
12366_16,3.0
12367_52,4.0
12368_18,5.0
12370_30,4.5
12372_50,3.0
12373_73,5.0
12374_8,5.0
12376_85,5.0
12378_71,4.0
12381_26,5.0
12382_2,4.0
12384_92,8.5
12385_4,2.5
12386_11,6.0
12387_7,3.5
12389_4,3.5
12391_27,15.5
12392_30,2.0
12394_53,3.5
12395_86,9.0
12396_19,7.0
12398_15,3.0
12399_194,4.0
12400_25,3.5
12401_3,4.5
12403_30,4.5
12406_119,3.5
12408_333,3.5
12409_90,3.5
12411_60,5.5
12414_31,7.5
12415_122,6.0
12417_46,4.5
12420_10,13.0
12422_143,6.5
12423_38,3.0
12424_107,3.5
12425_104,3.5
12426_19,7.5
12427_8,3.0
12428_2,3.5
12430_78,2.5
12431_13,3.0
12432_23,5.0
12433_8,3.0
12434_25,3.0
12436_84,7.0
12437_18,3.5
12438_127,3.5
12439_67,5.5
12442_4,4.5
12444_39,5.0
12445_50,4.0
12446_49,3.5
12448_246,7.0
12449_16,6.0
12450_42,2.5
12451_62,10.5
12452_32,5.0
12453_161,3.5
12454_105,4.0
12455_48,4.0
12456_5,6.0
12457_10,3.0
12458_79,3.0
12459_13,3.0
12460_18,8.0
12461_8,6.0
12462_20,4.5
12463_7,6.0
12466_7,4.5
12469_19,5.0
12471_47,3.0
12473_48,8.0
12475_48,6.0
12476_50,4.0
12477_42,3.5
12478_15,4.5
12479_50,6.5
12480_9,23.0
12482_5,3.5
12483_62,3.5
12484_67,8.5
12486_8,2.5
12488_9,6.0
12490_92,4.5
12491_23,4.5
12493_42,3.0
12494_99,4.5
12497_29,6.0
12498_12,4.5
12499_108,8.0
12500_88,25.0
12501_10,3.0
12503_5,5.0
12504_26,3.0
12507_16,2.5
12508_9,4.5
12509_115,3.5
12510_3,2.5
12511_83,9.5
12513_8,2.5
12514_16,3.0
12515_45,4.5
12516_13,3.0
12517_52,7.0
12518_289,3.5
12521_3,7.5
12522_6,9.5
12524_18,2.5
12527_50,4.0
12528_40,2.5
12529_32,5.0
12530_14,3.5
12531_5,6.5
12532_28,4.5
12533_135,4.0
12534_10,2.0
12535_2,5.0
12536_46,7.0
12537_88,4.0
12538_19,9.5
12540_25,4.5
12543_76,2.5
12546_1,7.5
12548_75,4.0
12549_33,4.0
12551_3,7.5
12553_5,3.5
12554_10,6.5
12556_7,4.0
12557_18,6.0
12558_3,10.0
12560_9,3.5
12562_1,2.5
12563_2,4.0
12564_9,4.0
12568_14,4.5
12569_25,22.0
12571_14,6.0
12572_236,4.0
12573_80,5.5
12574_36,4.0
12575_30,9.0
12576_21,4.0
12577_100,2.5
12578_13,3.0
12580_7,6.5
12581_39,4.0
12583_77,5.5
12585_39,3.0
12587_65,11.0
12590_67,8.0
12591_27,7.5
12593_33,5.0
12594_5,4.5
12595_11,5.5
12597_68,6.0
12599_10,7.5
12603_87,4.0
12604_16,4.5
12605_1,3.5
12612_37,11.0
12616_45,7.0
12617_2,10.0
12618_50,4.5
12619_14,4.5
12620_3,9.5
12621_55,3.5
12622_96,6.5
12623_84,10.5
12625_138,5.0
12626_6,3.0
12627_97,9.5
12628_31,9.5
12630_8,3.0
12632_14,7.5
12633_3,4.0
12634_79,4.5
12635_9,4.0
12636_113,3.0
12637_7,7.0
12641_3,11.5
12643_4,5.0
12644_63,3.5
12646_2,7.5
12647_52,4.0
12649_80,11.0
12650_43,4.0
12651_21,2.5
12652_37,5.5
12653_13,2.5
12655_30,2.5
12656_1,10.5
12657_2,4.5
12658_72,4.0
12659_13,4.0
12661_44,3.5
12662_82,13.5
12663_1,6.0
12664_19,4.0
12665_16,3.5
12667_2,6.0
12668_7,10.0
12669_30,3.0
12670_15,6.5
12671_35,8.5
12675_14,9.5
12676_1,4.5
12677_164,7.0
12678_66,3.0
12681_63,3.0
12682_5,3.5
12683_156,4.5
12684_5,4.5
12685_57,8.0
12686_15,4.5
12687_2,8.5
12688_115,4.5
12689_56,13.0
12690_33,5.5
12691_44,8.5
12692_56,8.5
12693_2,9.5
12694_28,4.0
12695_62,3.0
12696_166,5.0
12697_30,9.5
12698_72,3.5
12699_28,23.0
12700_9,2.5
12701_1,9.5
12702_13,3.0
12703_6,12.5
12704_26,4.0
12705_9,2.5
12706_2,8.0
12707_26,3.0
12708_91,6.0
12709_63,5.5
12711_19,4.5
12712_9,3.0
12713_365,7.0
12714_38,4.0
12715_30,40.0
12716_3,5.0
12717_65,4.5
12718_43,4.5
12720_71,4.5
12721_4,3.5
12724_81,7.0
12726_3,3.5
12727_7,4.0
12729_12,5.0
12730_3,4.0
12731_12,5.5
12732_13,4.0
12734_112,3.5
12735_39,4.0
12737_12,4.0
12738_43,4.0
12740_55,4.5
12742_160,4.5
12743_18,2.5
12746_4,3.0
12747_89,8.5
12748_6,3.0
12750_9,2.5
12751_26,2.5
12753_6,4.0
12754_14,4.0
12756_3,3.5
12758_47,4.5
12759_47,2.5
12760_34,3.5
12761_12,3.0
12763_69,3.5
12764_3,3.5
12766_33,4.0
12768_3,3.0
12771_19,3.0
12772_8,3.0
12774_12,4.0
12775_6,6.5
12777_11,4.5
12779_30,3.5
12781_2,3.0
12783_29,3.5
12784_10,3.0
12785_49,5.0
12786_61,3.0
12787_47,4.0
12788_6,6.5
12790_10,5.0
12793_4,4.0
12794_6,3.0
12795_2,3.5
12796_44,4.0
12798_46,4.5
12799_65,2.0
12800_5,4.5
12801_33,3.0
12803_9,3.0
12804_5,5.5
12807_89,2.5
12808_103,3.0
12811_55,3.0
12812_25,6.0
12813_18,3.5
12814_17,3.5
12815_9,3.0
12817_1,5.5
12818_159,7.0
12820_1,4.5
12821_6,3.5
12822_34,4.0
12825_18,4.5
12826_5,6.0
12827_37,6.0
12830_4,2.5
12831_21,3.5
12832_10,3.0
12834_3,2.5
12835_101,3.5
12838_28,4.5
12842_43,4.0
12843_6,5.0
12844_10,4.5
12845_18,9.0
12846_3,3.0
12847_27,6.0
12848_9,4.0
12849_25,3.5
12851_5,3.0
12853_112,5.0
12854_3,4.0
12855_16,5.0
12856_14,2.5
12859_33,4.5
12860_7,3.0
12861_13,8.0
12862_14,5.5
12864_9,5.5
12867_40,3.0
12869_68,10.0
12871_10,4.0
12872_35,4.5
12873_11,3.0
12875_28,3.0
12876_39,4.0
12878_60,4.0
12879_5,3.0
12880_1,3.0
12881_17,3.0
12882_7,4.0
12885_42,4.0
12888_18,4.0
12891_1,5.0
12892_10,4.5
12893_159,4.0
12894_3,4.0
12895_28,4.0
12898_5,23.0
12900_29,19.0
12904_180,4.5
12906_137,3.5
12912_25,10.0
12915_26,3.0
12916_3,3.5
12921_51,8.5
12923_51,5.0
12925_105,13.5
12931_16,6.0
12933_17,26.0
12934_1,3.5
12936_38,3.5
12939_1,17.0
12940_35,2.0
12941_24,4.0
12945_33,19.0
12954_71,4.0
12956_40,5.5
12957_62,5.5
12958_8,4.5
12960_9,6.5
12963_1,4.0
12968_2,10.0
12970_35,6.0
12975_11,3.0
12976_49,4.0
12980_31,5.5
12986_12,26.0
12987_12,3.5
12988_49,3.5
12990_39,3.5
12991_49,5.5
12993_21,6.0
13007_66,19.0
13011_20,32.0
13013_41,4.5
13021_12,6.5
13022_20,12.0
13023_8,3.0
13025_4,3.0
13027_20,3.0
13028_2,5.0
13032_1,3.5
13039_1,15.5
13041_47,2.5
13042_7,4.0
13043_157,5.0
13044_5,4.5
13053_6,5.0
13054_87,3.0
13055_53,13.5
13056_18,3.5
13059_33,3.5
13062_4,4.5
